date,type,v1,year,month,Mt
2000-07-01,coal,66,2000,7,1.4
2000-07-01,natural,66,2000,7,6.8800001
2000-07-01,nuclear,66,2000,7,1.4400001
2000-07-01,petroleum,66,2000,7,11.66
2000-07-01,total,66,2000,7,21.59
2000-07-01,windsolarandhydro,66,2000,7,.02
2000-08-01,bioenergywaste,67,2000,8,.19
2000-08-01,coal,67,2000,8,1.1
2000-08-01,natural,67,2000,8,6.75
2000-08-01,nuclear,67,2000,8,1.54
2000-08-01,petroleum,67,2000,8,11.14
2000-08-01,total,67,2000,8,20.74
2000-08-01,windsolarandhydro,67,2000,8,.02
2000-09-01,bioenergywaste,68,2000,9,.19
2000-09-01,coal,68,2000,9,1.86
2000-09-01,natural,68,2000,9,7.27
2000-09-01,nuclear,68,2000,9,1.5599999
2000-09-01,petroleum,68,2000,9,10.53
2000-09-01,total,68,2000,9,21.440001
2000-09-01,windsolarandhydro,68,2000,9,.029999999
2000-10-01,bioenergywaste,69,2000,10,.19
2000-10-01,coal,69,2000,10,1.66
2000-10-01,natural,69,2000,10,8.9499998
2000-10-01,nuclear,69,2000,10,1.47
2000-10-01,petroleum,69,2000,10,10.78
2000-10-01,total,69,2000,10,23.1
2000-10-01,windsolarandhydro,69,2000,10,.050000001
2000-11-01,bioenergywaste,70,2000,11,.19
2000-11-01,coal,70,2000,11,1.6
2000-11-01,natural,70,2000,11,10.25
2000-11-01,nuclear,70,2000,11,1.62
2000-11-01,petroleum,70,2000,11,11.05
2000-11-01,total,70,2000,11,24.76
2000-11-01,windsolarandhydro,70,2000,11,.050000001
2000-12-01,bioenergywaste,71,2000,12,.19
2000-12-01,coal,71,2000,12,1.89
2000-12-01,natural,71,2000,12,10.51
2000-12-01,nuclear,71,2000,12,1.83
2000-12-01,petroleum,71,2000,12,11.9
2000-12-01,total,71,2000,12,26.379999
2000-12-01,windsolarandhydro,71,2000,12,.059999999
2001-01-01,bioenergywaste,72,2001,1,.20999999
2001-01-01,coal,72,2001,1,1.28
2001-01-01,natural,72,2001,1,11.08
